county,faults_list
Sierra,"['Mohawk Valley fault zone', 'Polaris fault', 'Dog Valley fault zone', 'Upper Long Valley fault zone']"
Sacramento,[]
Santa Barbara,"['Santa Cruz Island fault zone', 'Red Mountain fault', 'Red Mountain fault zone', 'North Channel-Pitas Point fault', 'Shepard Mesa fault', 'Isla Vista fault', 'Mesa-Rincon Creek fault zone', 'Lavigia fault zone', 'Loon Point fault', 'Ortega Hill fault', 'El Encanto fault', 'Mission Ridge fault system', 'Carneros fault', 'San Jose fault zone', 'Santa Ynez fault zone', 'Baseline fault', 'Los Alamos fault', 'Little Pine fault zone', 'Santa Ynez River fault zone', ""Lion's Head fault zone"", 'Casmalia fault zone', 'San Luis Range fault system (South Margin)', 'Hosgri  fault zone', 'San Pedro fault', 'San Gregorio-Hosgri fault zone']"
Calaveras,['Foothills fault system']
Ventura,"['Malibu Coast fault', 'Bailey fault', 'Chatsworth fault', 'Sierra Madre fault zone', 'Simi-Santa Rosa fault zone', 'Northridge blind thrust', 'Faults of Orcutt and Timber Canyons', 'Del Valle fault', 'Sisar fault zone', 'San Cayetano fault', 'Holser fault', 'San Gabriel fault zone', 'Santa Cruz Island fault zone', 'Montalvo fault', 'Wright Road fault', 'Ventura fault', 'Oak Ridge fault', 'Pitas Point fault', 'Javon Canyon fault', 'Red Mountain fault', 'Red Mountain fault zone', 'Shepard Mesa fault', 'Mesa-Rincon Creek fault zone', 'Faults near Oakview and Meiners Oaks', 'Lion Canyon fault', 'Mission Ridge fault system', 'Santa Ynez fault zone', 'Pine Mountain fault', 'Big Pine fault zone']"
Los Angeles,"['San Clemente fault', 'Catalina fault', 'Palos Verdes fault zone', 'THUMS-Huntington Beach', 'Cabrillo fault', 'Los Alamitos fault', 'Puente Hills blind thrust system', 'Charnock fault', 'Elsinore fault zone', 'Newport-Inglewood-Rose Canyon fault zone', 'Central Avenue fault', 'Overland Avenue fault', 'Santa Monica fault', 'Malibu Coast fault', 'East Montebello fault', 'Hollywood fault', 'Eagle Rock fault', 'Raymond fault', 'Verdugo fault', 'Chatsworth fault', 'San Jose fault', 'Indian Hill fault', 'San Antonio fault', 'Sierra Madre fault zone', 'Northridge Hills fault', 'Simi-Santa Rosa fault zone', 'Mission Hills fault zone', 'Northridge blind thrust', 'Del Valle fault', 'Holser fault', 'San Gabriel fault zone', 'Santa Felicia fault', 'Clearwater fault zone', 'Llano fault', 'Mirage Valley fault zone', 'Garlock fault zone', 'San Andreas fault zone']"
Sonoma,"['San Andreas fault zone', 'Rodgers Creek fault', 'Bennett Valley fault zone', 'Alexander-Redwood Hill fault zone', 'Healdsburg fault', 'Chianti fault', 'Geyser Peak fault zone', 'Maacama fault zone']"
Kings,['Great Valley thrust fault system']
San Diego,"['San Felipe fault zone', 'Chula Vista fault', 'Point Loma fault zone', 'Rose Canyon fault zone', 'Newport-Inglewood fault zone', 'Elsinore fault zone', 'Newport-Inglewood-Rose Canyon fault zone', 'San Jacinto fault']"
Placer,"['Foothills fault system', 'West Tahoe-Dollar Point fault zone', 'North Tahoe fault', 'Polaris fault']"
